Tissue_ID,Expression_Count
UBERON0002048,190552
UBERON0000956,29058
UBERON0002421,33253
UBERON0005290,4141
UBERON0000988,20727
UBERON0002037,26100
UBERON0001898,72916
UBERON0010225,30115
UBERON0001891,15888
UBERON0000966,6293
UBERON0008612,50373
UBERON0001225,51788
UBERON8410025,5322
UBERON8410026,5322
UBERON0000178,36406
UBERON0001728,31252
UBERON0002048 (organoid),5426
UBERON0001005,6139
UBERON0000991,12960
UBERON0003126,27284
UBERON0002106,51979
UBERON0002097,31399
UBERON0000175,2114
UBERON0001965,22950
UBERON0002098,23108
UBERON8410000,10345
UBERON0002661,1301
UBERON0000451,6864
UBERON0002080,3093
UBERON0002084,769
UBERON0002094,8510
UBERON0002372,895
UBERON0002116,7586
UBERON0002113,63338
UBERON0001161,720
UBERON0001162,360
UBERON0013473,360
UBERON0000310,4689
UBERON0001155,537
UBERON0002371,8975
UBERON0001117,100
UBERON0000362,45
